salt,T,sample,x_w_org,x_s_org,x_a_org,x_w_aq,x_s_aq,x_a_aq
nabr,2.50E+01,br1,7.66E-01,8.46E-03,2.25E-01,9.73E-01,1.59E-02,1.15E-02
nabr,2.50E+01,br2,7.62E-01,8.43E-03,2.29E-01,9.71E-01,1.57E-02,1.33E-02
nabr,2.50E+01,br3,7.07E-01,1.00E-02,2.83E-01,9.67E-01,2.42E-02,8.48E-03
nabr,2.50E+01,br4,7.13E-01,9.69E-03,2.77E-01,9.63E-01,2.58E-02,1.13E-02
nabr,2.50E+01,br5,6.53E-01,9.66E-03,3.38E-01,9.56E-01,3.52E-02,9.25E-03
nabr,2.50E+01,br6,6.46E-01,9.37E-03,3.45E-01,9.58E-01,3.60E-02,5.73E-03
nabr,2.50E+01,br7,5.47E-01,8.15E-03,4.45E-01,9.81E-01,1.50E-02,3.56E-03
nabr,2.50E+01,br8,4.09E-01,3.54E-03,5.88E-01,9.22E-01,7.46E-02,2.93E-03
nabr,2.50E+01,br9,3.94E-01,3.53E-03,6.03E-01,9.19E-01,7.88E-02,2.55E-03
nabr,2.50E+01,br10,3.18E-01,1.89E-03,6.80E-01,8.90E-01,1.07E-01,2.89E-03
nabr,2.50E+01,br11,7.99E-01,6.52E-03,1.94E-01,9.73E-01,1.34E-02,1.34E-02
nabr,2.50E+01,br12,6.74E-01,8.54E-03,3.17E-01,9.69E-01,2.40E-02,7.13E-03
nabr,2.50E+01,br13,6.74E-01,8.58E-03,3.18E-01,9.65E-01,2.42E-02,1.08E-02
nabr,2.50E+01,br14,5.32E-01,6.50E-03,4.61E-01,9.31E-01,4.67E-02,2.24E-02
nabr,2.50E+01,br15,5.41E-01,7.07E-03,4.52E-01,9.33E-01,4.58E-02,2.11E-02
nabr,2.50E+01,br16,3.08E-01,2.25E-03,6.90E-01,8.90E-01,8.58E-02,2.39E-02
nabr,2.50E+01,br17,3.07E-01,2.32E-03,6.90E-01,9.03E-01,8.32E-02,1.34E-02
